name,Memcached-avg,Memcached-std,iperf3-avg,iperf3-std,Netperf-avg,Netperf-std,Hackbench-avg,Hackbench-std,Untar-avg,Untar-std,FileIO-avg,FileIO-std,Prime-avg,Prime-std
kvm-1,23420.96,0.0,968,0,969.51,0.0,1.988,0.0,-1,-1,-1,-1,9.4211,0
kvm-2,44335.78,0.0,973,0,974.29,0.0,0.992,0.0,-1,-1,-1,-1,9.4171,0
kvm-4,44726.19,0.0,970,0,974.69,0.0,0.562,0.0,-1,-1,-1,-1,9.4202,0
native-1,39297.69666666667,221.86352927469167,975,0,972.23,3.1999999999999886,1.735,0.005715476066494,-1,-1,-1,-1,9.4065,0
native-2,44432.72,0.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1
native-4,44745.51666666666,225.6906564796654,975,0,974.59,0.8199999999999932,0.5213333333333333,0.0044969125210773,-1,-1,-1,-1,9.3989,0
ulh-1,27687.772000000004,507.0073518756899,973,0,975.002,0.0823164625090153,1.8513333333333333,0.020757863302587,-1,-1,-1,-1,9.414,0
ulh-2,45328.60600000001,149.65880710469392,974,0,975.322,0.1020588065773817,0.9626666666666668,0.0122292908852294,-1,-1,-1,-1,9.4125,0
ulh-4,45331.72,390.6596475706193,975,0,975.3,0.1709970759983725,0.5466666666666667,0.0012472191289246,-1,-1,-1,-1,9.4188,0
kvm-1-fig9-dv,10855.96,0.0,681,0,690.63,0.0,1.942,0.0,-1,-1,-1,-1,9.4229,0
kvm-1-fig9-vanilla,11816.28,0.0,593,0,602.38,0.0,1.927,0.0,-1,-1,-1,-1,9.4231,0
kvm-2-fig9-dv,18047.48,0.0,966,0,967.77,0.0,0.986,0.0,-1,-1,-1,-1,9.424,0
kvm-2-fig9-vanilla,23006.31,0.0,792,0,818.1,0.0,1.049,0.0,-1,-1,-1,-1,9.4249,0
kvm-4-fig9-dv,18447.61,0.0,909,0,889.38,0.0,0.886,0.0,-1,-1,-1,-1,9.4271,0
kvm-4-fig9-vanilla,20538.85,0.0,935,0,966.16,0.0,0.882,0.0,-1,-1,-1,-1,9.4236,0
kvm-4-fig10-512,33273.33,0.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1
kvm-4-fig10-1024,44986.41,0.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1
kvm-4-fig10-1536,44712.19,0.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1
kvm-4-fig10-2048,44742.31,0.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1
ulh-4-fig10-512,45095.8,0.0,-1,-1,-1.0,-1.0,0.5599999999999999,0.0066833125519211,-1,-1,-1,-1,9.417,0
ulh-4-fig10-1024,45588.04,0.0,-1,-1,-1.0,-1.0,0.5546666666666668,0.0033993463423951,-1,-1,-1,-1,9.4136,0
ulh-4-fig10-1536,45158.2,0.0,-1,-1,-1.0,-1.0,0.5503333333333335,0.0044969125210773,-1,-1,-1,-1,9.4115,0
ulh-4-fig10-2048,45420.01,0.0,-1,-1,-1.0,-1.0,0.5513333333333333,0.0030912061651652374,-1,-1,-1,-1,9.413,0
